column,family,dtype,n_unique,bucket,null_frac
D15,time deltas,numeric,859,"≤1,000",0.1509008703898127
D6,time deltas,numeric,829,"≤1,000",0.8760676668811597
D10,time deltas,numeric,818,"≤1,000",0.1287330240119213
D4,time deltas,numeric,808,"≤1,000",0.2860466691502693
D14,time deltas,numeric,802,"≤1,000",0.8946946862193924
D5,time deltas,numeric,688,"≤1,000",0.524674027161581
D11,time deltas,numeric,676,"≤1,000",0.47293494090154775
V335,vesta,numeric,672,"≤1,000",0.8605496664070174
D3,time deltas,numeric,649,"≤1,000",0.44514850814508755
D2,time deltas,numeric,641,"≤1,000",0.4754919226470688
D1,time deltas,numeric,641,"≤1,000",0.0021488806854743116
D12,time deltas,numeric,635,"≤1,000",0.8904104717715988
D7,time deltas,numeric,597,"≤1,000",0.9340992989467267
D13,time deltas,numeric,577,"≤1,000",0.8950926270870728
id_19,identity,numeric,522,"≤1,000",0.7640837199850984
card2,card,numeric,500,"≤1,000",0.015126833068039422
id_21,identity,numeric,490,"≤1,000",0.9912639279303688
V218,vesta,numeric,401,"≤1,000",0.7791343516103905
id_20,identity,numeric,394,"≤1,000",0.7641802418125783
V338,vesta,numeric,380,"≤1,000",0.8605496664070174
V219,vesta,numeric,379,"≤1,000",0.7791343516103905
id_11,identity,numeric,365,"≤1,000",0.7612727334304196
V336,vesta,numeric,356,"≤1,000",0.8605496664070174
id_25,identity,numeric,341,"≤1,000",0.9913096487960172
V232,vesta,numeric,338,"≤1,000",0.7791343516103905
V339,vesta,numeric,334,"≤1,000",0.8605496664070174
V233,vesta,numeric,333,"≤1,000",0.7791343516103905
addr1,address,numeric,332,"≤1,000",0.1112642666034477
C5,counts,numeric,319,"≤1,000",0.0
V217,vesta,numeric,304,"≤1,000",0.7791343516103905
V231,vesta,numeric,294,"≤1,000",0.7791343516103905
id_33,identity,string,260,"≤1,000",0.8758949436109323
V145,vesta,numeric,260,"≤1,000",0.8612270125647712
V337,vesta,numeric,254,"≤1,000",0.8605496664070174
V291,vesta,numeric,219,"≤1,000",2.0320384732617603e-05
V187,vesta,numeric,215,"≤1,000",0.763553696616656
C9,counts,numeric,205,"≤1,000",0.0
V162,vesta,numeric,185,"≤1,000",0.8612371727571375
V292,vesta,numeric,173,"≤1,000",2.0320384732617603e-05
V269,vesta,numeric,151,"≤1,000",0.7791343516103905
V334,vesta,numeric,143,"≤1,000",0.8605496664070174
id_31,identity,string,130,"≤1,000",0.7624513157449114
V234,vesta,numeric,122,"≤1,000",0.7605310393876791
card5,card,numeric,119,"≤1,000",0.007212043214684865
card3,card,numeric,114,"≤1,000",0.0026501168422122124
V163,vesta,numeric,106,"≤1,000",0.8612371727571375
id_17,identity,numeric,104,"≤1,000",0.7639973583499847
id_06,identity,numeric,101,"≤1,000",0.7682375452975243
V329,vesta,numeric,100,≤100,0.8605496664070174
V105,vesta,numeric,100,≤100,0.0005317167338368274
V285,vesta,numeric,96,≤100,2.0320384732617603e-05
id_26,identity,numeric,95,≤100,0.9912571544687913
V296,vesta,numeric,94,≤100,0.0021488806854743116
id_08,identity,numeric,94,≤100,0.9912707013919464
V298,vesta,numeric,94,≤100,2.0320384732617603e-05
id_05,identity,numeric,93,≤100,0.7682375452975243
V229,vesta,numeric,91,≤100,0.7791343516103905
V99,vesta,numeric,89,≤100,0.0005317167338368274
V180,vesta,numeric,84,≤100,0.7632353439225116
id_07,identity,numeric,84,≤100,0.9912707013919464
V182,vesta,numeric,84,≤100,0.763553696616656
V226,vesta,numeric,81,≤100,0.7791343516103905
V224,vesta,numeric,79,≤100,0.7791343516103905
V161,vesta,numeric,79,≤100,0.8612371727571375
V221,vesta,numeric,77,≤100,0.7605310393876791
id_01,identity,numeric,77,≤100,0.7557608290716971
V222,vesta,numeric,76,≤100,0.7605310393876791
id_30,identity,string,75,≤100,0.868654113184543
addr2,address,numeric,74,≤100,0.1112642666034477
V259,vesta,numeric,68,≤100,0.7605310393876791
V258,vesta,numeric,67,≤100,0.7791343516103905
V230,vesta,numeric,66,≤100,0.7791343516103905
V253,vesta,numeric,66,≤100,0.7791343516103905
V144,vesta,numeric,63,≤100,0.8612270125647712
V171,vesta,numeric,62,≤100,0.7632353439225116
V283,vesta,numeric,62,≤100,0.0021488806854743116
id_10,identity,numeric,62,≤100,0.8731229044603245
R_emaildomain,email,string,60,≤100,0.7675161716395164
P_emaildomain,email,string,59,≤100,0.1599485216920107
V290,vesta,numeric,58,≤100,2.0320384732617603e-05
V245,vesta,numeric,58,≤100,0.7605310393876791
V330,vesta,numeric,56,≤100,0.8605496664070174
V151,vesta,numeric,56,≤100,0.8612270125647712
V201,vesta,numeric,56,≤100,0.7632353439225116
V106,vesta,numeric,56,≤100,0.0005317167338368274
V37,vesta,numeric,55,≤100,0.2861262573238053
V38,vesta,numeric,55,≤100,0.2861262573238053
V228,vesta,numeric,55,≤100,0.7791343516103905
id_13,identity,numeric,54,≤100,0.7844007179869272
V56,vesta,numeric,52,≤100,0.13055169844549055
V299,vesta,numeric,50,≤100,2.0320384732617603e-05
V227,vesta,numeric,50,≤100,0.7605310393876791
V45,vesta,numeric,49,≤100,0.2861262573238053
V44,vesta,numeric,49,≤100,0.2861262573238053
V176,vesta,numeric,49,≤100,0.763553696616656
V170,vesta,numeric,49,≤100,0.7632353439225116
V257,vesta,numeric,49,≤100,0.7791343516103905
V256,vesta,numeric,48,≤100,0.7605310393876791
V236,vesta,numeric,46,≤100,0.7791343516103905
V199,vesta,numeric,46,≤100,0.763553696616656
V246,vesta,numeric,46,≤100,0.7791343516103905
V200,vesta,numeric,46,≤100,0.7632353439225116
id_09,identity,numeric,46,≤100,0.8731229044603245
V255,vesta,numeric,46,≤100,0.7605310393876791
V254,vesta,numeric,45,≤100,0.7791343516103905
V326,vesta,numeric,45,≤100,0.8605496664070174
V192,vesta,numeric,45,≤100,0.763553696616656
V243,vesta,numeric,43,≤100,0.7791343516103905
V190,vesta,numeric,43,≤100,0.763553696616656
V183,vesta,numeric,42,≤100,0.763553696616656
V261,vesta,numeric,41,≤100,0.7791343516103905
V237,vesta,numeric,40,≤100,0.7791343516103905
V196,vesta,numeric,39,≤100,0.763553696616656
V152,vesta,numeric,39,≤100,0.8612270125647712
V186,vesta,numeric,39,≤100,0.763553696616656
V193,vesta,numeric,38,≤100,0.763553696616656
V225,vesta,numeric,35,≤100,0.7791343516103905
V140,vesta,numeric,34,≤100,0.8612371727571375
V139,vesta,numeric,34,≤100,0.8612371727571375
V282,vesta,numeric,33,≤100,0.0021488806854743116
V287,vesta,numeric,32,≤100,2.0320384732617603e-05
V172,vesta,numeric,32,≤100,0.763553696616656
V78,vesta,numeric,32,≤100,0.15098723202492634
V185,vesta,numeric,32,≤100,0.7632353439225116
V87,vesta,numeric,31,≤100,0.15098723202492634
V86,vesta,numeric,31,≤100,0.15098723202492634
V189,vesta,numeric,31,≤100,0.7632353439225116
V188,vesta,numeric,31,≤100,0.7632353439225116
V77,vesta,numeric,31,≤100,0.15098723202492634
V100,vesta,numeric,29,≤100,0.0005317167338368274
V147,vesta,numeric,27,≤100,0.8612371727571375
C3,counts,numeric,27,≤100,0.0
V220,vesta,numeric,26,≤100,0.7605310393876791
V181,vesta,numeric,25,≤100,0.763553696616656
V157,vesta,numeric,25,≤100,0.8612371727571375
V156,vesta,numeric,25,≤100,0.8612371727571375
V155,vesta,numeric,25,≤100,0.8612371727571375
id_22,identity,numeric,25,≤100,0.9912469942764249
V158,vesta,numeric,25,≤100,0.8612371727571375
id_14,identity,numeric,25,≤100,0.8644562603718631
V252,vesta,numeric,25,≤100,0.7791343516103905
V146,vesta,numeric,25,≤100,0.8612371727571375
V239,vesta,numeric,24,≤100,0.7605310393876791
V235,vesta,numeric,24,≤100,0.7791343516103905
id_03,identity,numeric,24,≤100,0.8876892335828225
V238,vesta,numeric,24,≤100,0.7605310393876791
D9,time deltas,numeric,24,≤100,0.8731229044603245
V244,vesta,numeric,23,≤100,0.7791343516103905
V248,vesta,numeric,23,≤100,0.7791343516103905
V281,vesta,numeric,23,≤100,0.0021488806854743116
V249,vesta,numeric,23,≤100,0.7791343516103905
V138,vesta,numeric,23,≤100,0.8612371727571375
V198,vesta,numeric,22,≤100,0.7632353439225116
V191,vesta,numeric,22,≤100,0.763553696616656
V303,vesta,numeric,21,≤100,2.0320384732617603e-05
V149,vesta,numeric,21,≤100,0.8612371727571375
V262,vesta,numeric,21,≤100,0.7791343516103905
V148,vesta,numeric,21,≤100,0.8612371727571375
V242,vesta,numeric,21,≤100,0.7791343516103905
V169,vesta,numeric,20,≤100,0.7632353439225116
V81,vesta,numeric,20,≤100,0.15098723202492634
V80,vesta,numeric,20,≤100,0.15098723202492634
V247,vesta,numeric,19,≤100,0.7791343516103905
V154,vesta,numeric,19,≤100,0.8612371727571375
V153,vesta,numeric,19,≤100,0.8612371727571375
V327,vesta,numeric,19,≤100,0.8605496664070174
V251,vesta,numeric,19,≤100,0.7605310393876791
V250,vesta,numeric,19,≤100,0.7605310393876791
id_18,identity,numeric,18,≤100,0.9236072069631185
V40,vesta,numeric,18,≤100,0.2861262573238053
V55,vesta,numeric,18,≤100,0.13055169844549055
V59,vesta,numeric,17,≤100,0.13055169844549055
V304,vesta,numeric,17,≤100,2.0320384732617603e-05
V60,vesta,numeric,17,≤100,0.13055169844549055
V223,vesta,numeric,17,≤100,0.7791343516103905
V184,vesta,numeric,17,≤100,0.7632353439225116
V302,vesta,numeric,17,≤100,2.0320384732617603e-05
V195,vesta,numeric,17,≤100,0.7632353439225116
V328,vesta,numeric,16,≤100,0.8605496664070174
V39,vesta,numeric,16,≤100,0.2861262573238053
V17,vesta,numeric,16,≤100,0.1288193856470349
V18,vesta,numeric,16,≤100,0.1288193856470349
V104,vesta,numeric,16,≤100,0.0005317167338368274
id_04,identity,numeric,15,≤100,0.8876892335828225
V16,vesta,numeric,15,≤100,0.1288193856470349
V20,vesta,numeric,15,≤100,0.1288193856470349
V32,vesta,numeric,15,≤100,0.1288193856470349
V197,vesta,numeric,15,≤100,0.7632353439225116
V175,vesta,numeric,15,≤100,0.7632353439225116
V301,vesta,numeric,14,≤100,0.0021488806854743116
V24,vesta,numeric,14,≤100,0.1288193856470349
V123,vesta,numeric,14,≤100,0.0005317167338368274
V23,vesta,numeric,14,≤100,0.1288193856470349
V124,vesta,numeric,14,≤100,0.0005317167338368274
V125,vesta,numeric,14,≤100,0.0005317167338368274
V289,vesta,numeric,13,≤100,0.0021488806854743116
V284,vesta,numeric,13,≤100,2.0320384732617603e-05
V325,vesta,numeric,13,≤100,0.8605496664070174
V98,vesta,numeric,13,≤100,0.0005317167338368274
V297,vesta,numeric,13,≤100,2.0320384732617603e-05
V34,vesta,numeric,13,≤100,0.1288193856470349
V26,vesta,numeric,13,≤100,0.1288193856470349
id_24,identity,numeric,12,≤100,0.9919615944728554
V300,vesta,numeric,12,≤100,0.0021488806854743116
V72,vesta,numeric,11,≤100,0.13055169844549055
V58,vesta,numeric,11,≤100,0.13055169844549055
V62,vesta,numeric,11,≤100,0.13055169844549055
V288,vesta,numeric,11,≤100,0.0021488806854743116
V7,vesta,numeric,10,≤10,0.47293494090154775
V113,vesta,numeric,10,≤10,0.0005317167338368274
V6,vesta,numeric,10,≤10,0.47293494090154775
V112,vesta,numeric,10,≤10,0.0005317167338368274
V142,vesta,numeric,10,≤10,0.8612371727571375
V3,vesta,numeric,10,≤10,0.47293494090154775
V111,vesta,numeric,10,≤10,0.0005317167338368274
V47,vesta,numeric,9,≤10,0.2861262573238053
V286,vesta,numeric,9,≤10,2.0320384732617603e-05
V22,vesta,numeric,9,≤10,0.1288193856470349
V74,vesta,numeric,9,≤10,0.13055169844549055
V52,vesta,numeric,9,≤10,0.2861262573238053
V42,vesta,numeric,9,≤10,0.2861262573238053
V67,vesta,numeric,9,≤10,0.13055169844549055
V2,vesta,numeric,9,≤10,0.47293494090154775
V260,vesta,numeric,9,≤10,0.7791343516103905
V8,vesta,numeric,9,≤10,0.47293494090154775
V174,vesta,numeric,9,≤10,0.7632353439225116
V43,vesta,numeric,9,≤10,0.2861262573238053
V9,vesta,numeric,9,≤10,0.47293494090154775
V92,vesta,numeric,8,≤10,0.15098723202492634
V85,vesta,numeric,8,≤10,0.15098723202492634
V31,vesta,numeric,8,≤10,0.1288193856470349
V66,vesta,numeric,8,≤10,0.13055169844549055
V64,vesta,numeric,8,≤10,0.13055169844549055
V84,vesta,numeric,8,≤10,0.15098723202492634
V82,vesta,numeric,8,≤10,0.15098723202492634
V63,vesta,numeric,8,≤10,0.13055169844549055
V79,vesta,numeric,8,≤10,0.15098723202492634
V73,vesta,numeric,8,≤10,0.13055169844549055
V93,vesta,numeric,8,≤10,0.15098723202492634
V30,vesta,numeric,8,≤10,0.1288193856470349
V83,vesta,numeric,8,≤10,0.15098723202492634
V173,vesta,numeric,8,≤10,0.763553696616656
V109,vesta,numeric,8,≤10,0.0005317167338368274
V110,vesta,numeric,8,≤10,0.0005317167338368274
V19,vesta,numeric,8,≤10,0.1288193856470349
V15,vesta,numeric,8,≤10,0.1288193856470349
V194,vesta,numeric,8,≤10,0.7632353439225116
V108,vesta,numeric,8,≤10,0.0005317167338368274
V76,vesta,numeric,7,≤10,0.15098723202492634
V13,vesta,numeric,7,≤10,0.1288193856470349
V61,vesta,numeric,7,≤10,0.13055169844549055
V4,vesta,numeric,7,≤10,0.47293494090154775
V70,vesta,numeric,7,≤10,0.13055169844549055
V57,vesta,numeric,7,≤10,0.13055169844549055
V71,vesta,numeric,7,≤10,0.13055169844549055
V54,vesta,numeric,7,≤10,0.13055169844549055
V51,vesta,numeric,7,≤10,0.2861262573238053
V5,vesta,numeric,7,≤10,0.47293494090154775
V46,vesta,numeric,7,≤10,0.2861262573238053
V33,vesta,numeric,7,≤10,0.1288193856470349
V91,vesta,numeric,7,≤10,0.15098723202492634
V116,vesta,numeric,7,≤10,0.0005317167338368274
V115,vesta,numeric,7,≤10,0.0005317167338368274
V114,vesta,numeric,7,≤10,0.0005317167338368274
V25,vesta,numeric,7,≤10,0.1288193856470349
V49,vesta,numeric,6,≤10,0.2861262573238053
V48,vesta,numeric,6,≤10,0.2861262573238053
V50,vesta,numeric,6,≤10,0.2861262573238053
V36,vesta,numeric,6,≤10,0.2861262573238053
V53,vesta,numeric,6,≤10,0.13055169844549055
V29,vesta,numeric,6,≤10,0.1288193856470349
V141,vesta,numeric,6,≤10,0.8612371727571375
V21,vesta,numeric,6,≤10,0.1288193856470349
V240,vesta,numeric,6,≤10,0.7791343516103905
V11,vesta,numeric,6,≤10,0.47293494090154775
V90,vesta,numeric,6,≤10,0.15098723202492634
V69,vesta,numeric,6,≤10,0.13055169844549055
ProductCD,product,string,5,≤10,0.0
V241,vesta,numeric,5,≤10,0.7791343516103905
V10,vesta,numeric,5,≤10,0.47293494090154775
V75,vesta,numeric,5,≤10,0.15098723202492634
id_32,identity,numeric,4,≤10,0.8686185525112609
id_34,identity,string,4,≤10,0.8682477054898906
V122,vesta,numeric,4,≤10,0.0005317167338368274
V28,vesta,numeric,4,≤10,0.1288193856470349
V121,vesta,numeric,4,≤10,0.0005317167338368274
V120,vesta,numeric,4,≤10,0.0005317167338368274
V117,vesta,numeric,4,≤10,0.0005317167338368274
card6,card,string,4,≤10,0.0026602770345785214
V119,vesta,numeric,4,≤10,0.0005317167338368274
V118,vesta,numeric,4,≤10,0.0005317167338368274
card4,card,string,4,≤10,0.00267043722694483
V12,vesta,numeric,4,≤10,0.1288193856470349
V35,vesta,numeric,4,≤10,0.2861262573238053
V27,vesta,numeric,4,≤10,0.1288193856470349
M4,match,string,3,≤10,0.47658753005723575
id_23,identity,string,3,≤10,0.9912469942764249
V89,vesta,numeric,3,≤10,0.15098723202492634
V94,vesta,numeric,3,≤10,0.15098723202492634
V68,vesta,numeric,3,≤10,0.13055169844549055
id_15,identity,string,3,≤10,0.7612608798726589
id_28,identity,string,2,≤10,0.7612727334304196
DeviceType,device,string,2,≤10,0.7615572188166763
id_38,identity,string,2,≤10,0.7612608798726589
id_37,identity,string,2,≤10,0.7612608798726589
id_36,identity,string,2,≤10,0.7612608798726589
id_29,identity,string,2,≤10,0.7612727334304196
id_27,identity,string,2,≤10,0.9912469942764249
id_35,identity,string,2,≤10,0.7612608798726589
M1,match,string,2,≤10,0.4590713584177194
id_16,identity,string,2,≤10,0.7809801198902699
M9,match,string,2,≤10,0.5863311545365258
M2,match,string,2,≤10,0.4590713584177194
M3,match,string,2,≤10,0.4590713584177194
M5,match,string,2,≤10,0.5934940901547736
M6,match,string,2,≤10,0.28678836319300977
M7,match,string,2,≤10,0.5863531682866528
M8,match,string,2,≤10,0.5863311545365258
V1,vesta,numeric,2,≤10,0.47293494090154775
id_12,identity,string,2,≤10,0.7557608290716971
V14,vesta,numeric,2,≤10,0.1288193856470349
V107,vesta,numeric,2,≤10,0.0005317167338368274
V305,vesta,numeric,2,≤10,2.0320384732617603e-05
V88,vesta,numeric,2,≤10,0.15098723202492634
V65,vesta,numeric,2,≤10,0.13055169844549055
V41,vesta,numeric,2,≤10,0.2861262573238053
has_identity,has_identity,numeric,2,≤10,0.0
